FID,STOPID,NAME,TOWN,0730_0930,1200_1400,1500_1830,2000_2100,x,y,z,PhotoF,PhotoS
0,10001,Bodmin Road Helston Walk,Middleton,6,6,4,2,428983,428480,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10001&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10001&view=side
1,10002,Bodmin Road Padstow Gardens,Middleton,6,6,4,2,429117,428112,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10002&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10002&view=side
2,10003,Bodmin Road Padstow Place,Middleton,6,6,4,2,429287,427872,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10003&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10003&view=side
3,10004,Bodmin Crescent Sissons Ter,Middleton,6,6,5,2,429447,427727,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10004&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10004&view=side
4,10005,Ring Road Beeston Helston Croft,Middleton,9,10,6,5,429160,428503,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10005&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10005&view=side
5,10006,Ring Road Beeston Park Bodmin Road,Middleton,8,10,6,5,429108,428626,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10006&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10006&view=side
6,10009,St Georges Road Middleton Shopping Centre,Middleton,11,13,10,3,431001,428166,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10009&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10009&view=side
7,10010,Ring Road Shopping Centre,Middleton,12,13,11,5,430831,428181,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10010&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10010&view=side
8,10011,Middleton Park Road Lingwell Road,Middleton,12,13,12,5,430277,428090,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10011&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10011&view=side
9,10012,Middlleton Park Circus,Middleton,9,9,8,4,429938,428029,140,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10012&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10012&view=side
10,10013,Middleton Park Avenue Throstle Lane,Middleton,15,15,11,6,429925,427416,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10013&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10013&view=side
11,10015,Sissons Terrace Throstle Lane,Middleton,0,0,0,0,429600,427420,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10015&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10015&view=side
12,10016,Acre Road Sissons Lane,Middleton,6,6,5,2,429775,427578,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10016&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10016&view=side
13,10017,Middleton Arms,Middleton,9,11,7,5,429827,428074,140,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10017&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10017&view=side
14,10018,Belle Isle Sharp House,Belle Isle,4,5,4,3,431663,427924,100,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10018&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10018&view=side
15,10019,Sharp Lane Throstle Road,Belle Isle,4,5,3,2,431360,428220,110,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10019&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10019&view=side
16,10020,Throstle Road Cranmore Road,Belle Isle,4,5,2,2,431355,428256,110,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10020&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10020&view=side
17,10021,Broom Place Middleton Ring Road,Belle Isle,3,4,2,1,431802,428901,90,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10021&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10021&view=side
18,10022,Ring Road Middleton Lea Park Drive,Belle Isle,3,4,2,1,431812,429409,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10022&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10022&view=side
19,10023,Ring Road Middleton Middlecroft Close,Belle Isle,4,4,3,1,431890,429667,60,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10023&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10023&view=side
20,10024,Ring Road Middleton Middlecroft Road,Belle Isle,3,4,2,1,431871,429720,60,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10024&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10024&view=side
21,10025,Middleton Road East Grange Drive,Belle Isle,6,6,3,1,431452,430256,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10025&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10025&view=side
22,10026,Middleton Road Parnaby Road,Belle Isle,6,6,3,1,431485,430505,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10026&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10026&view=side
23,10027,Pepper Road Leasowe Road,Hunslet Carr,6,6,3,1,431583,430734,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10027&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10027&view=side
24,10028,Balm Road Playfair Road,Hunslet,14,14,12,4,431041,430893,30,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10028&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10028&view=side
25,10029,Balm Road Sandon Place,Belle Isle,12,13,11,4,431018,430691,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10029&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10029&view=side
26,10030,Balm Road Moor Road,Belle Isle,13,13,11,4,431006,430740,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10030&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10030&view=side
27,10031,Belle Isle Rd Low Grange Crescent,Belle Isle,13,14,12,4,431170,430002,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10031&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10031&view=side
28,10032,Belle Isle Rd Middleton Road,Belle Isle,12,14,12,4,431312,429159,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10032&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10032&view=side
29,10033,Town Street Lanshaw View,Belle Isle,10,11,9,3,431082,428591,100,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10033&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10033&view=side
30,10034,Town Street Lanshaw View,Belle Isle,10,11,9,3,431066,428590,100,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10034&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10034&view=side
31,10035,Middleton Centre,Belle Isle,13,13,10,5,430910,428230,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10035&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10035&view=side
32,10036,Town Street Dunlin Drive,Belle Isle,8,9,8,2,430998,428406,110,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10036&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10036&view=side
33,10037,Winrose Drive Newhall Gate,Belle Isle,1,2,2,0,430947,429083,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10037&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10037&view=side
34,10038,Winrose Drive Lindale Close,Belle Isle,2,2,2,0,430932,429369,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10038&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10038&view=side
35,10039,Belle Isle Rd Low Grange Crescent,Belle Isle,14,14,11,4,431137,430037,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10039&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10039&view=side
36,10040,Belle Isle Road West Grange Drive,Belle Isle,13,13,11,4,431038,430420,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10040&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10040&view=side
37,10041,Belle Isle Rd Nestfield Walk,Belle Isle,3,3,2,1,431331,428614,100,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10041&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10041&view=side
38,10042,Belle Isle Rd Middleton Road,Belle Isle,13,14,11,4,431298,429089,90,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10042&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10042&view=side
39,10043,Belle Isle Road Petersfield Avenue,Belle Isle,13,14,11,4,431264,429504,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10043&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10043&view=side
40,10045,Town Street Lingwell Road North,Belle Isle,3,4,2,1,430269,428436,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10045&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10045&view=side
41,10046,Middleton Park Road St Philips Avenue,Middleton,6,7,4,2,429891,428106,140,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10046&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10046&view=side
42,10047,Middleton Arms,Middleton,13,14,9,5,430004,428098,140,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10047&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10047&view=side
43,10048,Ring Road Lingwell Road,Middleton,13,13,10,5,430379,428108,130,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10048&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10048&view=side
44,10050,Middleton Park Road Middleton Park Grove,Middleton,8,10,6,5,429528,428123,140,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10050&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10050&view=side
45,10051,Ring Road Waincliffe Drive,Beeston,20,23,12,9,428776,429733,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10051&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10051&view=side
46,10052,Dewsbury Road Oakhurst Avenue,Beeston,23,22,16,9,429014,429918,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10052&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10052&view=side
47,10053,Dewsbury Road Back Mafeking Avenue,Beeston,23,22,17,9,429359,430156,60,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10053&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10053&view=side
48,10054,Broadway Ph,Beeston,23,22,16,9,429540,430315,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10054&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10054&view=side
49,10055,Dewsbury Road Tempest Road,Beeston,22,22,15,8,429759,430603,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10055&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10055&view=side
50,10056,Dewsbury Road Woodview Grove,Beeston,23,22,15,8,429916,430817,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10056&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10056&view=side
51,10057,Dewsbury Road Trentham Street,Beeston,23,22,15,8,430020,430999,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10057&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10057&view=side
52,10058,Dewsbury Road Burton Avenue,Beeston,25,24,20,11,430091,431546,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10058&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10058&view=side
53,10059,Dewsbury Road Hunslet Hall Road,Beeston,28,28,22,12,430127,431878,30,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10059&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10059&view=side
54,10062,Parkfield Street Apex Way,Holbeck,25,28,24,11,430174,432174,30,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10062&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10062&view=side
55,10065,Dewsbury Road Hunslet Hall Road,Beeston,22,24,21,10,430115,431652,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10065&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10065&view=side
56,10066,Garnet Road,Beeston,22,22,20,8,430023,430966,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10066&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10066&view=side
57,10067,Dewsbury Road Social Club,Beeston,22,22,20,9,429701,430490,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10067&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10067&view=side
58,10068,Broadway Ph,Beeston,21,21,21,9,429470,430219,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10068&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10068&view=side
59,10069,Beeston Park Dewsbury Road,Beeston,15,17,10,7,428972,429796,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10069&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10069&view=side
60,10070,Dewsbury Road Waincliffe Drive,Beeston,12,17,13,7,428853,429767,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10070&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10070&view=side
61,10072,Old Lane Chatswood Avenue,Beeston,1,2,2,1,428913,429893,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10072&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10072&view=side
62,10073,Cardinal Road Waincliffe Place,Beeston,2,2,2,0,428654,430035,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10073&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10073&view=side
63,10074,Old Lane Grovehall Road,Beeston,3,4,2,1,428829,430227,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10074&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10074&view=side
64,10075,Old Lane Moorhouse Avenue,Beeston,3,4,2,1,428801,430418,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10075&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10075&view=side
65,10076,Beeston Co-Op,Beeston,4,4,2,1,428748,430800,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10076&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10076&view=side
66,10077,Beeston Co-Op,Beeston,3,4,3,1,428765,430801,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10077&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10077&view=side
67,10078,Town Street Terminus,Beeston,8,12,7,4,428326,430732,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10078&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10078&view=side
68,10079,Beeston Road Crossflats Terrace,Beeston,9,10,6,3,428772,430890,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10079&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10079&view=side
69,10080,Beeston Road Woodlea Street,Beeston,9,10,6,2,428934,431097,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10080&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10080&view=side
70,10081,Beeston Road Parkfield View,Beeston,9,10,8,3,429069,431226,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10081&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10081&view=side
71,10082,Beeston Road Noster Terrace,Beeston,9,10,6,3,429102,431258,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10082&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10082&view=side
72,10084,Beeston Hill,Beeston,9,10,8,3,429321,431326,80,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10084&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10084&view=side
73,10085,Malvern Road Beeston Road,Beeston,6,8,6,3,429599,431564,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10085&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10085&view=side
74,10086,Lady Pit Lane Coupland Road,Beeston,6,8,6,3,429676,431732,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10086&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10086&view=side
75,10087,Lady Pit Lane Hunslet Hall Road,Beeston,6,8,6,3,429742,431867,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10087&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10087&view=side
76,10088,Lady Pit Lane Northcote Green,Hunslet,6,8,6,3,429738,431853,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10088&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10088&view=side
77,10089,Northcote Crescent,Beeston,6,8,6,3,429978,431789,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10089&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10089&view=side
78,10091,Wesley Street Sunnyview Gardens,Beeston,0,0,0,0,428598,431013,60,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10091&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10091&view=side
79,10092,Cemetery Road Temple Crescent,Beeston,5,6,4,2,429330,431410,70,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10092&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10092&view=side
80,10093,Cemetery Road Elland Road,Beeston,15,16,13,5,429139,431770,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10093&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10093&view=side
81,10095,Top Moor Side,Holbeck,6,8,7,3,429129,432093,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10095&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10095&view=side
82,10097,Domestic Street Pleasant Place,Holbeck,7,8,6,4,429007,432326,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10097&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10097&view=side
83,10098,Domestic Street Balm Walk,Holbeck,7,8,7,4,428931,432420,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10098&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10098&view=side
84,10100,Domestic Road Gelderd Road,Holbeck,6,9,6,3,428454,432437,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10100&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10100&view=side
85,10101,Domestic Road Gelderd Road,Holbeck,6,7,4,3,428479,432449,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10101&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10101&view=side
86,10102,Gelderd Road Gelderd Lane,Beeston,1,2,1,2,427734,431649,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10102&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10102&view=side
87,10103,Gelderd Road Ring Road Beeston,Holbeck,1,2,1,2,427544,431412,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10103&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10103&view=side
88,10104,Elland Road Heath Mount,Beeston,10,10,8,3,428172,431196,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10104&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10104&view=side
89,10105,Elland Road Leeds United Afc,Beeston,10,10,8,3,428369,431296,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10105&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10105&view=side
90,10106,Elland Road Leeds United Afc,Beeston,9,10,9,2,428419,431313,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10106&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10106&view=side
91,10107,Elland Road Cemetery Road,Beeston,2,2,1,1,429088,431717,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10107&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10107&view=side
92,10108,Carlton Lane Stone Brig Lane,Rothwell,4,4,2,2,434165,427771,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10108&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10108&view=side
93,10109,Leadwell Lane Northfield Avenue,Robin Hood,4,4,2,2,433109,427622,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10109&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10109&view=side
94,10110,Middleton Lane Winthorpe Avenue,Thorpe,3,3,2,2,430986,427054,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10110&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10110&view=side
95,10111,Middleton Lane Winthorpe Avenue,Thorpe,3,3,2,1,430939,427043,120,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10111&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10111&view=side
96,10112,Drysalters,Cottingley,11,12,9,4,427841,430539,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10112&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10112&view=side
97,10113,Drysalters,Cottingley,11,14,9,3,427916,430446,50,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10113&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10113&view=side
98,10116,Moor Road Tunstall Road,Hunslet,0,1,1,1,430548,431075,40,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10116&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10116&view=side
99,10118,Beza Street Tulip Street,Hunslet,1,3,1,1,430634,431239,30,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10118&view=front,http://apps.westyorks-ca.gov.uk/stopinformation/GetPhotos.aspx?stopnumber=10118&view=side
